Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2017.0,4.0,89000.0,75000.0
Rare,Riyadh,Kia,Manual,Saudi,Standard,2015.0,2.4,104000.0,25000.0
Rare,Abha,Mazda,Automatic,Saudi,Semi Full,2019.0,2.0,25000.0,58000.0
Rare,Dammam,Mercedes,Automatic,Saudi,Full,2013.0,3.0,110000.0,113000.0
Rare,Jeddah,Mazda,Automatic,Saudi,Full,2015.0,2.5,115000.0,82000.0
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014.0,5.4,204000.0,45000.0
Elantra,Jeddah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017.0,2.0,51000.0,42000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2020.0,1.4,67095.0,60000.0
Yukon,Riyadh,GMC,Automatic,Other,Full,2016.0,6.2,126000.0,176000.0
Rare,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2015.0,2.4,68245.0,45000.0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2012.0,2.4,217000.0,39500.0
Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2016.0,5.3,104000.0,112000.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2017.0,2.4,263400.0,40000.0
Caprice,Dammam,Chevrolet,Automatic,Saudi,Standard,2013.0,6.0,106000.0,79000.0
Rare,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016.0,3.3,149000.0,47000.0
Rare,Riyadh,Kia,Automatic,Saudi,Semi Full,2018.0,2.0,85000.0,30000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018.0,3.5,74000.0,77000.0
Rare,Riyadh,Rare,Automatic,Gulf Arabic,Full,2017.0,3.8,66000.0,119000.0
ES,Al-Ahsa,Lexus,Automatic,Other,Semi Full,2016.0,3.5,104000.0,98000.0
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017.0,2.7,130000.0,67000.0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017.0,2.4,133000.0,48000.0
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016.0,5.3,205544.0,99500.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018.0,1.6,73000.0,45000.0
Rare,Dammam,Mazda,Automatic,Other,Full,2016.0,2.5,104000.0,105000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,1.4,204000.0,23000.0
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2014.0,1.6,275000.0,25000.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2019.0,1.6,69358.0,60500.0
Rare,Jeddah,Rare,Automatic,Other,Semi Full,2015.0,3.6,106000.0,75000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2015.0,1.4,101600.0,28000.0
Rare,Riyadh,Rare,Manual,Saudi,Semi Full,2013.0,2.0,16000.0,35000.0
Rare,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014.0,1.8,135020.0,24000.0
Rare,Al-Medina,Mazda,Automatic,Gulf Arabic,Semi Full,2016.0,1.6,130000.0,48000.0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2016.0,5.3,146000.0,118000.0
Sierra,Aseer,GMC,Automatic,Saudi,Full,2016.0,5.3,144000.0,95000.0
Yaris,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016.0,1.5,155000.0,32000.0
Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2016.0,3.5,114000.0,65000.0
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2017.0,1.3,137200.0,32000.0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2010.0,5.3,250000.0,55000.0
Rare,Riyadh,Kia,Automatic,Saudi,Full,2015.0,3.5,116731.0,52000.0
Taurus,Dammam,Ford,Automatic,Other,Full,2016.0,3.5,91000.0,70000.0
Rare,Dammam,Ford,Automatic,Other,Full,2016.0,5.0,92000.0,129000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018.0,2.5,84000.0,68000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,2.4,106336.0,58500.0
Rare,Dammam,Ford,Automatic,Saudi,Standard,2012.0,3.5,336000.0,35000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2020.0,1.5,33000.0,55000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Standard,2017.0,3.5,158543.0,61500.0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2011.0,5.3,350000.0,55000.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013.0,6.0,79159.0,75000.0
Rare,Riyadh,Rare,Manual,Saudi,Standard,2016.0,1.5,122000.0,21500.0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018.0,1.4,127000.0,33000.0
Rare,Dammam,Chevrolet,Manual,Saudi,Standard,2013.0,1.4,196000.0,28000.0
Caprice,Dammam,Chevrolet,Automatic,Saudi,Full,2013.0,6.0,190000.0,50000.0
Rare,Jeddah,Jeep,Automatic,Saudi,Full,2014.0,5.8,270000.0,60000.0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017.0,4.6,125188.0,171500.0
Rare,Dammam,Toyota,Automatic,Saudi,Standard,2012.0,2.5,234000.0,30000.0
Rare,Makkah,Rare,Automatic,Saudi,Full,2015.0,3.5,100000.0,65000.0
Rare,Makkah,Kia,Automatic,Gulf Arabic,Full,2011.0,3.3,334624.0,27500.0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013.0,3.6,353000.0,39500.0
Rare,Dammam,Chevrolet,Automatic,Other,Full,2016.0,3.4,154000.0,79000.0
C,Riyadh,Mercedes,Automatic,Other,Semi Full,2016.0,2.0,76000.0,102000.0
Rare,Riyadh,Toyota,Automatic,Saudi,Standard,2016.0,3.5,110864.0,81500.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013.0,6.0,70375.0,80500.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2020.0,1.6,64695.0,42000.0
Prado,Jubail,Toyota,Automatic,Saudi,Full,2015.0,1.6,55000.0,130000.0
Rare,Jeddah,Lexus,Automatic,Saudi,Standard,2019.0,2.0,45000.0,130000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020.0,2.5,44000.0,88000.0
Rare,Riyadh,Toyota,Automatic,Saudi,Standard,2020.0,4.0,46000.0,135000.0
Rare,Dammam,Chevrolet,Automatic,Saudi,Standard,2016.0,5.3,174000.0,103000.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018.0,1.6,45370.0,49000.0
Camry,Abha,Toyota,Automatic,Saudi,Semi Full,2016.0,2.7,194710.0,55000.0
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2018.0,2.7,16700.0,72000.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018.0,1.6,103966.0,43500.0
Rare,Riyadh,Nissan,Manual,Other,Semi Full,2015.0,2.4,108500.0,27500.0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2020.0,5.7,99000.0,145000.0
Corolla,Khobar,Toyota,Automatic,Saudi,Semi Full,2018.0,1.6,124000.0,40000.0
Rare,Riyadh,Rare,Automatic,Saudi,Standard,2018.0,2.0,117719.0,29500.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2018.0,3.5,128000.0,52000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017.0,3.0,85000.0,58000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,93239.0,40500.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014.0,5.7,190700.0,59000.0
Taurus,Dammam,Ford,Automatic,Other,Full,2016.0,3.5,129000.0,74000.0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013.0,5.7,257000.0,150000.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2020.0,1.4,5300.0,37500.0
Rare,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014.0,3.7,289903.0,51500.0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2020.0,1.6,36000.0,53000.0
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016.0,2.5,130000.0,55000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016.0,2.4,36000.0,48000.0
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2011.0,5.3,156000.0,47000.0
Rare,Dammam,Ford,Automatic,Other,Full,2018.0,2.3,79000.0,122000.0
Rare,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017.0,3.6,308400.0,45000.0
Rare,Jeddah,Ford,Automatic,Saudi,Full,2011.0,1.2,60000.0,55000.0
Rare,Riyadh,Jeep,Automatic,Saudi,Full,2014.0,5.7,120000.0,85000.0
Yukon,Al-Medina,GMC,Automatic,Saudi,Semi Full,2016.0,5.5,145000.0,100000.0
Rare,Khobar,GMC,Automatic,Saudi,Standard,2011.0,3.6,187000.0,22000.0
Rare,Dammam,Chevrolet,Automatic,Saudi,Standard,2018.0,5.3,57000.0,89000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,2.4,171000.0,43000.0
Rare,Jeddah,Mercedes,Automatic,Other,Full,2008.0,3.0,256000.0,38000.0
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2015.0,2.0,82914.0,53000.0
Rare,Riyadh,Rare,Manual,Saudi,Standard,2014.0,1.5,254000.0,25000.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018.0,1.5,98257.0,49000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,1.4,13081.0,38000.0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2019.0,4.0,73909.0,116500.0
Rare,Riyadh,Toyota,Automatic,Saudi,Standard,2018.0,2.5,163000.0,69500.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,49498.0,40500.0
Rare,Al-Ahsa,Kia,Automatic,Saudi,Semi Full,2015.0,6.0,171000.0,45000.0
Rare,Dammam,Jeep,Automatic,Saudi,Full,2017.0,5.7,102000.0,99000.0
Rare,Dammam,Rare,Automatic,Gulf Arabic,Full,2014.0,3.8,115000.0,125000.0
Rare,Al-Medina,Rare,Automatic,Saudi,Full,2010.0,5.0,188000.0,62000.0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017.0,3.5,75000.0,125000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,2.4,161796.0,54500.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019.0,1.5,87537.0,26800.0
Rare,Jeddah,Rare,Automatic,Saudi,Full,2016.0,1.4,59000.0,70000.0
Rare,Riyadh,Toyota,Manual,Saudi,Standard,2017.0,2.7,133148.0,70000.0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015.0,5.3,176332.0,120000.0
Rare,Dammam,Rare,Automatic,Saudi,Full,2019.0,1.6,27000.0,54000.0
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2016.0,3.5,118000.0,65000.0
Rare,Jeddah,Mazda,Automatic,Saudi,Semi Full,2015.0,3.7,221000.0,48000.0
Rare,Riyadh,Mercedes,Automatic,Other,Full,2017.0,3.4,72000.0,178000.0
Rare,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,2016.0,5.3,143000.0,87000.0
Rare,Dammam,Toyota,Manual,Saudi,Standard,2017.0,2.7,223000.0,77000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,1.4,128000.0,35000.0
Rare,Dammam,Kia,Automatic,Gulf Arabic,Full,2018.0,2.4,83000.0,75000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Full,2010.0,4.0,208000.0,72000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015.0,3.5,110790.0,77000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019.0,2.0,41912.0,59500.0
Rare,Riyadh,Nissan,Automatic,Saudi,Full,2017.0,4.6,31538.0,161500.0
Rare,Al-Ahsa,Kia,Automatic,Saudi,Standard,2015.0,2.0,102000.0,40000.0
Accord,Riyadh,Honda,Automatic,Saudi,Full,2016.0,3.5,350000.0,50000.0
Furniture,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015.0,2.7,243000.0,50000.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017.0,6.0,75000.0,65000.0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013.0,5.2,201866.0,57000.0
Rare,Riyadh,Toyota,Automatic,Saudi,Full,2009.0,5.7,343000.0,60000.0
Rare,Dammam,Ford,Automatic,Saudi,Standard,2014.0,3.5,150000.0,50000.0
Rare,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016.0,3.5,53000.0,113000.0
Rare,Riyadh,Rare,Automatic,Other,Full,2013.0,4.0,100000.0,108000.0
Rare,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017.0,1.6,92000.0,59000.0
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018.0,3.5,74715.0,76000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Standard,2020.0,2.0,10239.0,66500.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018.0,1.6,40000.0,42000.0
Rare,Jeddah,Rare,Automatic,Saudi,Full,2016.0,3.0,77000.0,90000.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016.0,6.2,155000.0,77000.0
C,Dammam,Mercedes,Automatic,Other,Semi Full,2019.0,2.0,35000.0,145000.0
Rare,Riyadh,Mazda,Automatic,Saudi,Full,2020.0,3.5,25182.0,120000.0
Yukon,Aseer,GMC,Automatic,Other,Semi Full,2015.0,5.3,292000.0,75000.0
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2016.0,5.3,55106.0,150000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2016.0,3.5,179000.0,82000.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2017.0,1.6,100000.0,44000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2015.0,5.0,98000.0,111000.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017.0,3.5,132000.0,65000.0
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016.0,2.4,62000.0,75000.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018.0,1.6,88288.0,51500.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017.0,1.6,66200.0,51000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2020.0,1.4,64355.0,60000.0
Rare,Riyadh,Toyota,Manual,Saudi,Semi Full,2014.0,2.0,188000.0,44000.0
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019.0,1.5,30766.0,42000.0
Rare,Riyadh,Ford,Automatic,Saudi,Semi Full,2015.0,2.3,157000.0,80000.0
Rare,Jeddah,Hyundai,Automatic,Saudi,Standard,2015.0,2.0,69000.0,45000.0
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Standard,2015.0,2.4,127000.0,102000.0
Rare,Jeddah,Jeep,Automatic,Gulf Arabic,Semi Full,2018.0,4.0,32000.0,129000.0
Expedition,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2015.0,5.4,142000.0,77000.0
ES,Dammam,Lexus,Automatic,Other,Full,2016.0,3.5,87000.0,119000.0
Rare,Aseer,Nissan,Automatic,Saudi,Semi Full,2016.0,2.5,142000.0,46000.0
Rare,Dammam,Rare,Automatic,Other,Full,2016.0,3.7,99000.0,100000.0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017.0,3.5,85000.0,141000.0
Rare,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2018.0,2.5,78592.0,64000.0
Expedition,Al-Medina,Ford,Automatic,Saudi,Semi Full,2016.0,1.5,170000.0,85000.0
ES,Jeddah,Lexus,Automatic,Saudi,Full,2011.0,3.5,282000.0,53000.0
Corolla,Tabouk,Toyota,Automatic,Saudi,Full,2015.0,1.6,90000.0,45000.0
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2018.0,1.6,63000.0,53000.0
Rare,Riyadh,Mazda,Automatic,Gulf Arabic,Semi Full,2020.0,2.5,19928.0,86500.0
Rare,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014.0,3.5,188257.0,78500.0
Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018.0,1.5,99000.0,26000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,2.0,135000.0,35000.0
Rare,Dammam,Toyota,Automatic,Saudi,Semi Full,2015.0,4.0,110000.0,115000.0
Charger,Al-Medina,Dodge,Automatic,Saudi,Semi Full,2019.0,3.6,56000.0,108000.0
Rare,Dammam,Rare,Automatic,Saudi,Full,2015.0,2.0,113000.0,100000.0
Hilux,Al-Medina,Toyota,Manual,Saudi,Full,2018.0,2.7,71000.0,62000.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018.0,1.6,90000.0,48500.0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2018.0,2.4,20000.0,126000.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013.0,6.0,74522.0,79500.0
Rare,Jazan,Nissan,Automatic,Saudi,Semi Full,2014.0,5.6,190000.0,105000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018.0,2.4,65325.0,71500.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015.0,3.0,222306.0,38000.0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017.0,1.6,20000.0,41000.0
C,Jeddah,Mercedes,Automatic,Other,Full,2018.0,2.0,70000.0,177000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Full,2014.0,4.0,116000.0,50000.0
Rare,Riyadh,Rare,Automatic,Gulf Arabic,Full,2020.0,1.4,7000.0,115000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,2.4,113057.0,62500.0
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019.0,1.5,80000.0,35500.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017.0,1.5,109763.0,21500.0
Pajero,Dammam,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2017.0,3.5,129000.0,65000.0
Pajero,Dammam,Mitsubishi,Automatic,Gulf Arabic,Full,2016.0,3.8,216000.0,58000.0
6,Jeddah,Mazda,Automatic,Saudi,Full,2019.0,2.5,50000.0,90000.0
Rare,Dammam,Kia,Automatic,Saudi,Standard,2016.0,1.4,188000.0,21000.0
Taurus,Dammam,Ford,Automatic,Other,Full,2016.0,3.5,72000.0,75000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,1.4,183000.0,27000.0
Rare,Jeddah,BMW,Automatic,Saudi,Full,2016.0,2.0,110000.0,120000.0
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2016.0,3.8,144624.0,47000.0
Hilux,Jubail,Toyota,Automatic,Saudi,Full,2018.0,2.7,218000.0,78000.0
Rare,Dammam,Lexus,Automatic,Gulf Arabic,Full,2016.0,2.5,81000.0,154000.0
Rare,Jazan,Ford,Automatic,Other,Full,2009.0,4.6,274000.0,35500.0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017.0,2.5,215735.0,64500.0
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2016.0,4.0,179812.0,155000.0
Rare,Aseer,Toyota,Manual,Saudi,Full,2019.0,4.0,26000.0,130000.0
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016.0,2.5,73000.0,61000.0
Rare,Al-Medina,Ford,Automatic,Saudi,Semi Full,2014.0,3.5,168322.0,60000.0
